Age (Birthdate),Program Selection: Program Selection Name,Admissions Status
31,Biology: Computational and Integrative (MS),Started App
25,Biology: Computational and Integrative (MS),Started App
25,Biology: Computational and Integrative (MS),Started App
25,Biology: Computational and Integrative (MS),Started App
24,Biology: Computational and Integrative (MS),Started App
22,Biology: Computational and Integrative (MS),Started App
25,Biology: Computational and Integrative (MS),Started App
26,Biology: Computational and Integrative (MS),Started App
22,Biology: Computational and Integrative (MS),Started App
36,Biology: Computational and Integrative (MS),Started App
23,Biology: Computational and Integrative (MS),Started App
31,Biology: Computational and Integrative (MS),Started App
25,Biology: Computational and Integrative (MS),Submitted App
26,Biology: Computational and Integrative (MS),Admit-Coming
22,Biology: Computational and Integrative (MS),Admit-Coming
25,Biology: Computational and Integrative (MS),Admit-Coming
23,Biology: Computational and Integrative (MS),Admit-Coming
25,Biology: Computational and Integrative (MS),Admit-Coming
26,Biology: Computational and Integrative (MS),Admit-Coming
47,Biology: Computational and Integrative (MS),Admit-Coming
23,Biology: Computational and Integrative (MS),Admit-Not Coming
28,Biology: Computational and Integrative (MS),Admit-Not Coming
21,Biology: Computational and Integrative (MS),Admit-Not Coming
22,Biology: Computational and Integrative (MS),Admit-Withdrawn
25,Biology: Computational and Integrative (MS),Admit-Withdrawn
26,Biology: Computational and Integrative (MS),Admit-Withdrawn
29,Biology: Computational and Integrative (MS),Admit-Withdrawn
21,Biology: Computational and Integrative (MS),Admit-Withdrawn
23,Biology: Computational and Integrative (MS),Admit-Withdrawn
23,Biology: Computational and Integrative (MS),Admit-Withdrawn
23,Biology: Computational and Integrative (MS),Admit-Withdrawn
22,Biology: Computational and Integrative (MS),Admit-Withdrawn
22,Biology: Computational and Integrative (MS),Admit-Withdrawn
25,Biology: Computational and Integrative (MS),Admit-Withdrawn
31,Biology: Computational and Integrative (MS),Admit-Withdrawn
25,Biology: Computational and Integrative (MS),Admit-Withdrawn
25,Biology: Computational and Integrative (MS),Admit-Withdrawn
25,Biology: Computational and Integrative (MS),Admit-Withdrawn
30,Biology: Computational and Integrative (MS),Admit-Withdrawn
26,Biology: Computational and Integrative (MS),Admit-Withdrawn
22,Biology: Computational and Integrative (MS),Admit-Withdrawn
26,Biology: Computational and Integrative (MS),Admit-Withdrawn
25,Biology: Computational and Integrative (MS),Admit-Withdrawn
25,Biology: Computational and Integrative (MS),Admit-Withdrawn
28,Biology: Computational and Integrative (MS),Admit-Withdrawn
23,Biology: Computational and Integrative (MS),Admit-Withdrawn
25,Biology: Computational and Integrative (MS),Admit-Withdrawn
23,Biology: Computational and Integrative (MS),Admit-Withdrawn
23,Biology: Computational and Integrative (MS),Admit-Withdrawn
25,Biology: Computational and Integrative (MS),Deferred to Fall
35,Biology: Computational and Integrative (MS),Deferred to Fall
26,Biology: Computational and Integrative (MS),Deferred to Fall
26,Biology: Computational and Integrative (MS),Deferred to Fall
26,Biology: Computational and Integrative (MS),Deferred to Fall
27,Biology: Computational and Integrative (MS),Deferred to Fall
25,Biology: Computational and Integrative (MS),Withdrawn
27,Biology: Computational and Integrative (MS),Denied
24,Biology: Computational and Integrative (MS),Denied
25,Biology: Computational and Integrative (MS),Denied
35,Biology: Computational and Integrative (MS),Denied
22,Biology: Computational and Integrative (MS),Denied
27,Biology: Computational and Integrative (MS),Denied
26,Biology: Computational and Integrative (MS),Denied
31,Biology: Computational and Integrative (MS),Denied
25,Biology: Computational and Integrative (MS),Denied
29,Biology: Computational and Integrative (MS),Denied
29,Biology: Computational and Integrative (MS),Denied
22,Biology: Computational and Integrative (MS),Denied
25,Biology: Computational and Integrative (MS),Denied
28,Biology: Computational and Integrative (MS),Denied
37,Biology: Computational and Integrative (MS),Denied
26,Biology: Computational and Integrative (MS),Denied
64,Biology: Computational and Integrative (MS),Denied
25,Biology: Computational and Integrative (MS),Denied
27,Biology: Computational and Integrative (MS),Denied
30,Biology: Computational and Integrative (MS),Denied
31,Biology: Computational and Integrative (MS),Denied
41,Biology: Computational and Integrative (MS),Denied
31,Biology: Computational and Integrative (MS),Denied
24,Biology: Computational and Integrative (MS),Denied
29,Biology: Computational and Integrative (MS),Denied
29,Biology: Computational and Integrative (MS),Denied
28,Biology: Computational and Integrative (MS),Denied
29,Biology: Computational and Integrative (MS),Denied
24,Biology: Computational and Integrative (MS),Denied
32,Biology: Computational and Integrative (MS),Denied
31,Biology: Computational and Integrative (MS),Denied
29,Biology: Computational and Integrative (PHD),Started App
48,Biology: Computational and Integrative (PHD),Started App
37,Biology: Computational and Integrative (PHD),Started App
27,Biology: Computational and Integrative (PHD),Started App
25,Biology: Computational and Integrative (PHD),Started App
23,Biology: Computational and Integrative (PHD),Started App
27,Biology: Computational and Integrative (PHD),Started App
24,Biology: Computational and Integrative (PHD),Started App
22,Biology: Computational and Integrative (PHD),Started App
24,Biology: Computational and Integrative (PHD),Started App
24,Biology: Computational and Integrative (PHD),Started App
23,Biology: Computational and Integrative (PHD),Started App
24,Biology: Computational and Integrative (PHD),Started App
25,Biology: Computational and Integrative (PHD),Started App
27,Biology: Computational and Integrative (PHD),Started App
26,Biology: Computational and Integrative (PHD),Started App
26,Biology: Computational and Integrative (PHD),Started App
32,Biology: Computational and Integrative (PHD),Started App
30,Biology: Computational and Integrative (PHD),Started App
26,Biology: Computational and Integrative (PHD),Started App
29,Biology: Computational and Integrative (PHD),Started App
28,Biology: Computational and Integrative (PHD),Started App
25,Biology: Computational and Integrative (PHD),Started App
26,Biology: Computational and Integrative (PHD),Started App
33,Biology: Computational and Integrative (PHD),Started App
25,Biology: Computational and Integrative (PHD),Started App
33,Biology: Computational and Integrative (PHD),Started App
30,Biology: Computational and Integrative (PHD),Started App
31,Biology: Computational and Integrative (PHD),Started App
35,Biology: Computational and Integrative (PHD),Started App
25,Biology: Computational and Integrative (PHD),Started App
23,Biology: Computational and Integrative (PHD),Submitted App
32,Biology: Computational and Integrative (PHD),Submitted App
26,Biology: Computational and Integrative (PHD),Submitted App
38,Biology: Computational and Integrative (PHD),Complete App
28,Biology: Computational and Integrative (PHD),Complete App
23,Biology: Computational and Integrative (PHD),Complete App
26,Biology: Computational and Integrative (PHD),Admit-Coming
30,Biology: Computational and Integrative (PHD),Admit-Coming
26,Biology: Computational and Integrative (PHD),Admit-Coming
28,Biology: Computational and Integrative (PHD),Admit-Coming
27,Biology: Computational and Integrative (PHD),Admit-Coming
26,Biology: Computational and Integrative (PHD),Admit-Coming
32,Biology: Computational and Integrative (PHD),Admit-Coming
34,Biology: Computational and Integrative (PHD),Admit-Coming
46,Biology: Computational and Integrative (PHD),Admit-Not Coming
25,Biology: Computational and Integrative (PHD),Admit-Not Coming
28,Biology: Computational and Integrative (PHD),Admit-Not Coming
33,Biology: Computational and Integrative (PHD),Admit-Not Coming
29,Biology: Computational and Integrative (PHD),Admit-Not Coming
33,Biology: Computational and Integrative (PHD),Admit-Not Coming
27,Biology: Computational and Integrative (PHD),Admit-Withdrawn
28,Biology: Computational and Integrative (PHD),Admit-Withdrawn
24,Biology: Computational and Integrative (PHD),Admit-Withdrawn
29,Biology: Computational and Integrative (PHD),Admit-Withdrawn
25,Biology: Computational and Integrative (PHD),Admit-Withdrawn
32,Biology: Computational and Integrative (PHD),Admit-Withdrawn
30,Biology: Computational and Integrative (PHD),Admit-Withdrawn
