Program,Started App,Submitted App,Complete App,Admit,Admit-Coming,Admit-Withdrawn,Deferred to Fall,Withdrawn,Denied
Biology,11,18,3,4,9,1,0,0,2
Business and Science,5,0,3,0,2,0,0,0,0
Chemistry,4,5,6,0,0,0,1,0,0
Childhood Studies,6,3,1,1,1,0,0,0,0
Computer Science,27,36,24,2,6,0,0,0,21
Criminal Justice,7,6,1,2,0,0,0,0,3
Data Science,33,34,8,20,17,0,0,0,24
Emerging Media,5,3,1,0,1,0,0,0,0
English,2,5,0,0,0,0,0,0,0
Forensic Science,3,12,3,0,0,0,0,0,0
"History (American, Global, Public)",1,2,2,1,0,0,0,0,0
Liberal Studies,8,1,1,1,4,0,0,1,0
Mathematical Sciences,2,5,0,0,3,0,1,0,0
Prevention Science,1,1,1,0,0,0,0,0,0
Psychology - Accelerated Degree BA/MA,1,0,0,0,0,0,0,0,0
Public Administration,13,9,0,2,2,0,0,0,1
Teacher Ed,2,2,0,0,1,0,0,0,0
Teacher Education ,6,4,1,3,2,0,0,0,0
